county_name,md_count_year,md_allergy_count,md_anesth_count,md_card_count,md_derm_count,md_emerg_med_count,md_fammed_count,md_gastr_count,md_genintmed_count,md_gen_surg_count,md_neuro_count,md_obgyn_count,md_ophth_count,md_psych_count,md_spec_count,md_surg_spec_count,all_gp_md_count,md_child_psych_count,md_gen_ped_count,census_year,census_count,popn_est_year,popn_est_count
Washington,2010,0,4,0,0,1,8,0,5,5,0,1,0,2,8,12,9,0,1,2010,32856,2022,31437
Washington,2010,0,4,0,0,1,8,0,5,5,0,1,0,2,8,12,9,0,1,2010,32856,2021,31121
York,2018,1,12,7,0,17,52,1,42,14,6,9,6,9,85,47,53,4,17,2020,211972,2022,216732
York,2018,1,12,7,0,17,52,1,42,14,6,9,6,9,85,47,53,4,17,2020,211972,2021,214591
York,2018,1,12,7,0,17,52,1,42,14,6,9,6,9,85,47,53,4,17,2010,197131,2022,216732
York,2018,1,12,7,0,17,52,1,42,14,6,9,6,9,85,47,53,4,17,2010,197131,2021,214591
York,2015,1,15,6,0,14,53,2,44,11,7,13,7,8,92,50,54,4,20,2020,211972,2022,216732
York,2015,1,15,6,0,14,53,2,44,11,7,13,7,8,92,50,54,4,20,2020,211972,2021,214591
York,2015,1,15,6,0,14,53,2,44,11,7,13,7,8,92,50,54,4,20,2010,197131,2022,216732
York,2015,1,15,6,0,14,53,2,44,11,7,13,7,8,92,50,54,4,20,2010,197131,2021,214591
York,2010,1,14,9,0,15,53,3,36,13,5,15,7,9,85,58,56,2,19,2020,211972,2022,216732
York,2010,1,14,9,0,15,53,3,36,13,5,15,7,9,85,58,56,2,19,2020,211972,2021,214591
York,2010,1,14,9,0,15,53,3,36,13,5,15,7,9,85,58,56,2,19,2010,197131,2022,216732
York,2010,1,14,9,0,15,53,3,36,13,5,15,7,9,85,58,56,2,19,2010,197131,2021,214591
Androscoggin,2019,0,8,6,2,23,36,8,26,23,2,5,4,3,84,51,38,1,14,2020,111139,2022,113023
Androscoggin,2019,0,8,6,2,23,36,8,26,23,2,5,4,3,84,51,38,1,14,2020,111139,2021,111034
Androscoggin,2019,0,8,6,2,23,36,8,26,23,2,5,4,3,84,51,38,1,14,2010,107702,2022,113023
Androscoggin,2019,0,8,6,2,23,36,8,26,23,2,5,4,3,84,51,38,1,14,2010,107702,2021,111034
Aroostook,2019,0,7,1,1,9,32,0,23,8,1,11,3,2,46,33,35,4,13,2020,67105,2022,67255
Aroostook,2019,0,7,1,1,9,32,0,23,8,1,11,3,2,46,33,35,4,13,2020,67105,2021,66859
Aroostook,2019,0,7,1,1,9,32,0,23,8,1,11,3,2,46,33,35,4,13,2010,71870,2022,67255
Aroostook,2019,0,7,1,1,9,32,0,23,8,1,11,3,2,46,33,35,4,13,2010,71870,2021,66859
Cumberland,2019,7,86,54,22,130,169,20,199,98,25,75,20,109,606,314,188,30,100,2020,303069,2022,307451
Cumberland,2019,7,86,54,22,130,169,20,199,98,25,75,20,109,606,314,188,30,100,2020,303069,2021,305231
Cumberland,2019,7,86,54,22,130,169,20,199,98,25,75,20,109,606,314,188,30,100,2010,281674,2022,307451
Cumberland,2019,7,86,54,22,130,169,20,199,98,25,75,20,109,606,314,188,30,100,2010,281674,2021,305231
Franklin,2019,0,4,0,0,2,10,0,4,4,0,2,1,1,13,8,10,1,9,2020,29456,2022,30474
